dep;edr;index;0Xregion;region;0Xdistrict_region;district_region;0Xmisto;0Xsmt;0Xselo;sity;adres;house;0Xds;0ds;Xark;Xobl;Xkiev;KORP;TP;NP
1010094;41032704;25015;;Кіровоградська;;;;;;селище мыського типу Новоград-Волинський;ВУЛИЦЯ Євгена Маланюка;11-А;;Подільський;;Х;;;;
1010138;41109279;85323;;Донецька;;;;;;Мирноград;ВУЛИЦЯ ЦЕНТРАЛЬНА;18;;;;Х;;;;
1010139;41109284;35603;;Рівненська;;;;;;Дубно;ВУЛИЦЯ Стефаника;6;;;;Х;;;;
1010140;41109297;08292;;Київська;;;;;;Буча;ВУЛИЦЯ Яблунська;144;;;;Х;;;;
1010141;41109305;77304;;Івано-Франківська;;;;;;Калуш;ВУЛИЦЯ Каракая;24;;;;Х;;;;
1010143;41109326;66101;;Одеська;;;;;;Балта;ВУЛИЦЯ Садова;11;;;;Х;;;;
1010144;41109331;75700;;Херсонська;;Скадовський;;;;Скадовськ;ВУЛИЦЯ В'ячеслава Чорновола;103;;;;Х;;;;
1010145;41109347;89427;;Закарпатська;;Ужгородський;;;;Минай;ВУЛИЦЯ Патруса Карпатського;13-А;;;;Х;;;;
1010146;41109352;89427;;Тернопільська;;;;;;Бережани;ВУЛИЦЯ Привокзальна;1;;;;Х;;;;
1010147;41109368;84545;;Донецька;;Бахмутський;;;;Соледар;ВУЛИЦЯ Карпінського;1/10;;;;Х;;;;
1010148;41109373;86060;;Донецька;;;;;;Авдіївка;проспект Індустріальний;1;;;;Х;;;;
1010149;41109389;64102;;Харківська;;;;;;Первомайський; 1/2 мікрорайон;55;;;;Х;;;;
1010150;41109394;02222;;;;;;;;Київ;ВУЛИЦЯ Електротехнічна;43-А;;Деснянський;;;Х;;;
1330351;42763830;61020;;Харківська;;;;;;Харків;Григорівське шосе;88;;Новобаварський;;Х;;;;
